date,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST
2016-10-03,101.35,101.69,101.19,101.62
2016-09-30,101.02,101.77,100.73,101.35
2016-09-29,100.67,101.86,100.62,101.02
2016-09-28,100.41,100.83,100.23,100.67
2016-09-27,100.31,101,100.07,100.41
2016-09-26,101.03,101.11,100.22,100.31
2016-09-23,100.73,101.25,100.65,101.03
2016-09-22,100.31,100.94,100.07,100.73
2016-09-21,101.7,102.81,100.28,100.31
2016-09-20,101.93,102.08,101.52,101.7
2016-09-19,102.21,102.42,101.56,101.93
2016-09-16,102.07,102.47,101.72,102.21
2016-09-15,102.41,102.75,101.92,102.07
2016-09-14,102.54,103.36,102.22,102.41
2016-09-13,101.85,102.77,101.4,102.54
2016-09-12,102.67,102.8,101.54,101.85
2016-09-09,102.47,103.06,101.95,102.67
2016-09-08,101.73,102.61,101.39,102.47
2016-09-07,102,102.14,101.18,101.73
2016-09-06,103.41,103.83,101.91,102
2016-09-05,103.94,104.14,103.12,103.41
2016-09-02,103.22,104.33,102.79,103.94
2016-09-01,103.41,104.02,103.03,103.22
2016-08-31,102.95,103.53,102.84,103.41
2016-08-30,101.9,103.14,101.73,102.95
2016-08-29,101.81,102.41,101.81,101.9
2016-08-26,100.51,101.94,100.06,101.81
2016-08-25,100.42,100.62,100.27,100.51
2016-08-24,100.23,100.62,100.07,100.42
2016-08-23,100.31,100.41,99.91,100.23
2016-08-22,100.41,100.94,100.19,100.31
2016-08-19,99.87,100.46,99.84,100.41
2016-08-18,100.26,100.5,99.62,99.87
2016-08-17,100.3,101.18,100.02,100.26
2016-08-16,101.24,101.31,99.53,100.3
2016-08-15,101.2,101.47,100.85,101.24
2016-08-12,101.93,102.28,100.82,101.2
2016-08-11,101.27,102.06,101,101.93
2016-08-10,101.87,101.97,100.94,101.27
2016-08-09,102.44,102.53,101.76,101.87
2016-08-08,101.71,102.67,101.71,102.44
2016-08-05,101.21,102.06,100.84,101.71
2016-08-04,101.23,101.67,100.84,101.21
2016-08-03,100.88,101.58,100.72,101.23
2016-08-02,102.38,102.83,100.65,100.88
2016-08-01,102.05,102.69,101.98,102.38
2016-07-29,105.24,105.34,101.94,102.05
2016-07-28,105.38,105.53,104.5,105.24
2016-07-27,104.64,106.54,104.6,105.38
2016-07-26,105.79,105.89,103.98,104.64
2016-07-25,106.19,106.73,105.71,105.79
2016-07-22,105.8,106.39,105.54,106.19
2016-07-21,106.84,107.48,105.41,105.8
2016-07-20,106.11,107.03,105.81,106.84
2016-07-19,106.14,106.53,105.62,106.11
2016-07-18,105.12,106.26,105.04,106.14
2016-07-15,105.33,106.31,104.62,105.12
2016-07-14,104.48,105.95,103.97,105.33
2016-07-13,104.67,104.89,103.89,104.48
2016-07-12,102.79,104.97,102.42,104.67
2016-07-11,100.43,102.91,100.42,102.79
2016-07-08,100.76,101.25,100.02,100.43
2016-07-07,101.31,101.44,100.57,100.76
2016-07-06,101.72,101.78,100.18,101.31
2016-07-05,102.55,102.61,101.43,101.72
2016-07-04,102.51,102.81,102.4,102.55
2016-07-01,103.25,103.41,102.4,102.51
2016-06-30,102.8,103.33,102.32,103.25
2016-06-29,102.75,102.95,102.15,102.8
2016-06-28,101.98,102.85,101.52,102.75
2016-06-27,102.09,102.47,101.37,101.98
